time,col1_boolean,col2_boolean,col3_boolean,col4_boolean,col5_float,col6_float,col7_float,col8_float,col9_float,col10_float,col11_float,col12_float,col13_float,col14_float,col15_float,col16_float,col17_float,col18_float,col19_float,col20_float,col21_float,col22_float,col23_float,col24_float,col25_float,col26_float,col27_float,col28_float,target_boolean,target_boolean2,col31_integer,col32_integer,col33_integer,col34_integer,col35_integer,col36_integer
0,1,0,1,7.1242652099373736,3.392420305277763,6.003548911542797,6.783137518775115,4.319537593109807,3.4013518867827326,4.71651695703981,6.333530544261924,5.897462044809749,3.901060389167296,4.27068600012628,4.442207119702433,5.466569814195399,6.2637657607884805,5.4255880181721245,5.451907930889589,4.174601800632817,7.5988967021957965,5.6035971732171905,6.142796951576852,4.55201324017143,6.3066328181086675,4.727816547925824,6.193174949075627,7.001134085663861,0,0,0.02920461820108343,1.3684093858886603,-1.8573550067384343,-2.032441264757286,-0.105121813193059,0
1,0,0,0,5.53441173865765,5.867892316779481,3.52887064654138,5.720642385195422,4.910665733843225,5.476569279200743,5.091589501364381,5.069362698519944,4.834362646089133,3.4381735481297353,5.299746028599048,2.7732269279734267,5.809786225517884,4.089718674478797,4.375572638923478,5.595781001888097,5.378447774201429,4.46541943315554,5.042956311755858,5.156494045573675,3.7770247785382294,5.137046568661866,4.484656233304017,4.705162382092028,4.258102086541231,0,0,-0.023594378433981475,-0.7958151191547728,-0.9691057972821361,-0.41941159225453556,-1.7351151542892687,0
2,0,0,1,4.792628476668647,3.816461130471269,3.7518153654494073,5.977903818913966,5.775426704465735,6.372316881835283,3.3120947477515226,2.5698586749951833,4.2190824698985985,5.115789978135231,4.403884696370714,3.9458036868110735,4.98186900149399,4.242393339125292,3.190841667938443,5.141995855546194,4.487752493294822,4.722831175403565,6.247586938787054,5.275870772763698,4.292649736326437,5.535766677563784,5.2086221552407395,3.678475505727098,6.14947414185572,0,0,-0.953303365707811,-0.4357388508014663,0.20769406543299393,-1.205736601401758,0.732922777382676,0
3,0,1,0,5.945368017673994,4.734658469828867,4.5413361175445015,4.4412756456138425,5.246079169592566,7.318602818146121,5.710011613095877,4.639424801713087,5.204822869084556,4.7700392061107815,6.224134369919319,5.110471485412275,5.4795021885874515,4.798452923996557,4.682116577069701,4.82621577770562,5.5995389097086505,6.047507448419996,2.7777941152357317,5.715046790022843,5.92523993525627,5.44673074822651,5.628324418235844,3.9999082218952764,4.414375131207502,0,0,-0.8813951504900217,1.152101961451224,0.5418909680024827,0.6324607576432638,0.5771642439114711,0
4,1,1,1,4.390234288028247,3.6668377456640515,5.700125184467925,4.40002084869904,4.1110492368551474,6.21030330594369,5.147418947482707,4.330781013214511,4.878335996290011,6.602978116108355,4.892162716831995,4.477884969828606,6.358697931275023,4.990776607771273,5.119180396123373,4.090770444433965,4.564228612741068,3.68534370739998,5.877841048303434,5.0988855667279,4.276762499291892,5.405543905943381,4.947182119879469,5.012911417141094,5.2353437352979215,0,0,0.3669157109069555,-0.7044886585997134,-0.8605624286778882,-0.4293874442583503,-0.4138053638420344,0
5,1,0,0,2.621912175866075,4.621771135588095,5.583482827603023,5.742036080243259,4.0922500620843785,5.814488657116094,5.179151459238332,4.831070572035037,3.3680394656679855,5.797626706494116,4.593058398567483,4.891576168629354,6.338609987315025,6.361765283291575,5.590684469367931,4.649143552114972,6.021701675530972,6.167973269806651,5.388521327675005,3.9040481623125056,3.7942090267200275,7.186032573909737,4.2130717966460445,3.5978902696943478,4.538205931011449,0,0,0.6401196153255423,0.10189515666782752,-0.0012262910497038001,-2.8697341066578823,-1.873374814059917,0
6,1,0,0,5.561715773970971,6.084917987990563,5.707484074173608,5.452727278974949,5.565657157310412,4.227018533235109,5.6364342137088945,4.998724413267392,4.814313851204309,3.9045401419960344,3.673368358622775,6.146905376276083,4.888927659522061,5.26832193228195,4.001564998279487,4.447351331725921,5.237042932438249,4.6684488762384895,3.935266191810569,4.908758423251992,4.998434078021912,3.2120685444531665,6.241385674066574,5.792925109188387,3.820564209082289,0,0,0.20180574659461,0.8985563353676164,-0.2646759498255607,-0.22993275780430503,0.7528390149786978,0
7,1,1,1,4.402443758501918,4.900904628460812,5.190351626262286,3.885490245554583,5.3940805256363324,4.104421704581339,5.24689454631091,6.226283276370449,3.644034686353452,4.62515504452585,4.341173854306641,4.082976788184106,5.577084660193232,4.951736881412069,4.307387298000172,4.813763195277818,3.6242962905024454,3.7436647814687705,5.567211267447368,6.18399187906066,5.312902787471723,4.06654821176168,5.7222907690490095,3.5294563793616396,4.08624460804938,0,0,-1.4059347522096715,0.9495958964002148,0.1781624209408601,0.8512431689973995,-0.533568154810553,0
8,1,1,0,4.60492890332159,5.482947207035021,4.834530529748399,5.663374200325565,7.339955015386916,6.1174673108990225,5.3825607224645236,3.9694180481848105,4.532376840053618,2.90712768354809,4.858441156107938,5.737900210150146,5.881140253195338,4.295065245796681,4.638202310954896,6.331824362056839,5.247293763315544,4.949074995472115,6.0956316434213225,5.464181638637151,5.465665435102227,5.468643551806168,5.227377320412545,5.942261007745959,5.1130456444039325,0,0,0.6397077334341474,0.4649735754017175,1.4272415563157848,0.18713020778569062,-0.30613443050853306,0
9,1,0,1,4.698249992808127,4.629730533348364,6.81227180511071,5.1581959718787065,5.865465924193001,6.196010428163559,4.609660613077699,5.449954061322969,4.768786505973199,5.490799631946635,5.125520619588936,5.309024489345788,4.263293085291983,4.820767613135837,5.906614136397034,2.9440959217368072,5.168301558141338,5.872351737162033,3.8623223451697384,3.5127515339911475,4.312949033051102,5.376872694376597,6.877822439712233,5.155925801818842,5.0843766419857275,0,0,-2.0341966301341072,-0.5910178558532867,0.027432374501459092,-2.005650067450764,-0.008363750132517474,0
10,0,0,0,5.722793572493166,3.903706041992883,5.531315235329377,4.750447661661326,5.632554656361618,4.944128754459236,5.681085704401949,5.156812237730863,5.8889382037416045,5.092175837990129,6.645283799693874,4.676205662443379,3.119240513160545,3.770289898930328,5.973995265685132,6.915227817411021,6.259395562605422,5.722620415896475,7.028137950790359,6.3626557731871225,5.512478343092716,4.9168478634604025,6.780860574105809,3.359469806671062,4.612354516737902,0,0,0.35629092744351437,-0.06289205097254046,0.0709112815267959,-0.09359344773506238,-1.145965709441946,0
11,0,1,1,3.955974850914229,5.439571112076285,5.301258203355493,3.074301375848271,5.739901451509937,5.7280333634531715,5.990332755448667,3.5261536955071247,5.5572636532190405,5.493195515740808,4.020695011759626,4.41491051676982,4.021939720879027,4.865340835844735,4.033693485368773,6.182165489236293,4.797457563468087,3.5647230745856575,5.38537356555771,6.102594750758645,5.382823531255172,4.163467843824055,5.92007718644046,5.316635111314334,6.349803144405632,0,0,2.032829905278853,-0.5117099429560757,2.131242295520995,2.1095255594408635,0.31627495458118554,0
12,1,1,1,4.070720757459906,4.657527479386763,5.8134175783496165,4.30081097711969,4.420341477258397,5.026112732950291,3.4800691407276614,3.392178537122514,3.869064378216561,5.896671993064734,5.222640593480118,6.5182449685256705,4.058194348475717,4.756198919420471,7.034720799096089,5.263816001834709,4.137315502964934,5.2149056922322075,3.993877226462201,5.190519436857529,5.8173868922401795,4.2930380683445,3.6776162443162113,2.9396516492251883,5.223746154550409,0,0,-0.6667824881146446,0.6844583981300923,0.9165037745996018,0.3630712013991746,-2.0473379944282666,0
