time,col1_boolean,col2_boolean,col3_boolean,col4_boolean,col5_float,col6_float,col7_float,col8_float,col9_float,col10_float,col11_float,col12_float,col13_float,col14_float,col15_float,col16_float,col17_float,col18_float,col19_float,col20_float,col21_float,col22_float,col23_float,col24_float,col25_float,col26_float,col27_float,col28_float,target_boolean,target_boolean2,col31_integer,col32_integer,col33_integer,col34_integer,col35_integer,col36_integer
0,0,0,1,4.793756984305083,5.212267180245327,6.35357460766497,5.77488817924869,4.488187566108968,4.118118495476432,5.029925950868697,4.442867572428917,4.945038341728454,3.8912100638289027,4.552682878069786,5.459890567839645,3.4322232664092676,6.135093071937045,4.0441968310518,4.982547921130558,4.2016401075706735,2.3940648626953807,3.933175969321592,6.356577308624249,4.132415846015871,5.691023145564001,4.8785569989975714,5.563854482306077,5.807115706026679,0,1,-0.029512919075268398,0.8540606753415291,-0.42724916594718704,0.8366185231473564,-0.6665103575436506,0
1,0,1,1,4.451857267388213,6.529135191686881,4.2770214425146955,4.876147487578363,5.321740708190942,5.854824845421523,3.5680310376268003,6.5265952633882085,5.21675348563433,5.2757932433861034,4.9816500782221285,5.1300010689022795,3.96528090253981,5.89821450627726,3.2906921155750095,4.429964600448824,6.35785422940566,4.594677442561866,4.639838691033842,5.17357630153481,5.882611810840695,5.409306655629403,5.2426856434912255,5.577949354674476,5.17876851252878,1,1,-0.2707710523131938,-1.347638229064373,-1.0835574964120855,-1.0413394075713154,0.2253637514543713,0
2,1,0,1,5.243546672759018,4.626326753866231,4.671668124396304,4.552529626308404,6.719065529098651,5.12653777911972,5.119720152916648,5.235396820202819,4.147812765054792,4.858926364852356,3.606187896015375,4.818495929277685,3.642153773276486,5.8273685974691425,3.892912470231594,4.904232630657845,3.1298363196436445,6.382622265092362,4.80720440900756,5.426264089481064,5.040323170212024,5.234009388650391,3.693988420090256,5.839094979354179,5.471913427938807,1,1,0.5088066627260046,0.22858838828463027,-0.9645444214643494,0.6871859928556787,-0.3978491919520966,0
3,0,1,1,4.079833571693546,4.823085531712014,4.670594822578686,6.7909627397120556,4.69293219962994,4.803017542443384,4.609476682986922,6.56973377719012,3.6016275135826232,3.473218787573364,4.448570146589387,6.344299766387875,6.832338229143966,5.193119244503968,6.873940796668797,4.918509406678434,6.538703161424333,4.634216032245946,5.045292018378758,5.6913767349133675,5.056532906925483,4.186219004040245,4.898755146878569,4.117731620829234,5.02489370627432,1,0,0.25755700282593236,-0.40798596784315505,-0.6340890697547541,0.04445344700896873,1.5668485999790043,0
4,0,1,1,5.0188911494607495,5.67755539428865,4.495214236723089,4.609866062890771,5.366578565870253,5.657732821505988,5.754452547028169,4.745918039740704,4.998931641948277,4.4067518347951085,4.974781968938693,4.01509198403592,7.981834238646881,3.596248788308496,4.1789431215897626,4.193178577987637,3.2733230649915535,5.052519795581854,6.501828875364819,3.581752308434182,4.188921674159271,5.6600915093135775,6.0828905069718315,4.308863573867251,2.8911920981425245,1,1,0.4714103567887196,-0.6576872911963776,0.639150107276636,-0.4112159214400948,-1.6129694218577253,0
5,0,0,1,5.931399400940659,4.3093393306656536,3.670335985794169,4.737900994486527,3.9489497610758537,3.7724584752715247,5.408245036416499,3.7158454289127585,5.535850977062137,5.837549689332353,4.973089857663593,4.690619125884968,4.344653119136305,5.551693405202434,6.22769990102873,5.23985198187172,4.372224596760941,5.576799708061657,5.428984906408544,5.455434768345412,4.359260211221798,5.216475183765764,7.40539231513458,7.573020150050191,3.898823509082919,1,1,-1.0081001542094754,-1.3116315787283825,0.5871224503688622,-0.6284781290439585,0.2534681566911909,0
6,1,1,0,6.572371588077276,3.9777582210647955,6.440676935205935,4.296137326936651,6.732380479382818,3.7220707171888954,6.463172485339392,4.74818804851497,4.248410900279894,5.255372223732403,4.486673134011863,5.382205371010656,5.256367880266699,4.610633937271535,4.148163708303283,4.708267756211538,4.7841439201929905,4.9822515547936765,5.537296939346845,4.482753107712979,3.597889792183885,4.498068929235442,4.790361723061115,6.219984064888761,4.471238504008531,0,0,-1.5595290569687115,-0.22234669468625903,-0.3756054375356593,-1.22067547189608,0.019627306348139684,0
7,1,0,1,5.243335100309905,5.369165466118285,4.696192294199312,5.240540739736478,3.1289355872439177,2.8731006266742205,4.657933859442471,3.709436749361902,5.8814726067343885,4.636570994923553,4.513032518591989,5.76858557503955,5.151637797823238,5.571622335152047,4.27107984914102,6.636368896670047,4.118378243047669,4.1098953629601125,3.561643055637668,5.021380561099934,4.995512857169526,6.496032605798314,4.718972474840897,5.581714450213905,3.737450221151682,1,1,1.061007736152038,-1.2986147129663412,1.5714137218357425,-0.0492022344484553,-1.502167555974453,0
8,1,1,1,4.816087317579501,5.021677532793888,5.3826339085463575,5.847899746883704,3.936325752822186,5.073649643791801,3.948412727417411,4.721410889750613,6.383805284356943,4.103565284796496,6.11869504899502,4.687566429004331,7.042622219576233,5.33436618959637,4.81915603591249,5.201323813409353,2.935946136116719,3.015689137836876,3.9378402329864524,6.222810584007238,5.638133507945638,5.305436055317488,3.912613300304208,4.96198247649609,3.056886242236642,1,1,1.0043629477844829,-0.0744533694054812,1.4040749648799538,0.8343218711739646,-1.038774922705974,0
9,1,1,0,4.845779912955118,3.9629836280516306,3.9226726852918503,5.1453204429446995,4.8132781694628575,3.2788677082777617,3.574071141592489,6.019894075449214,3.2760390966931583,6.1700473948306005,3.112285824156169,3.6701574444327956,7.0756053756693635,5.360478989073795,7.201543192740175,3.627370952147225,6.376725513751718,6.136558405281836,4.661229450310709,5.338101222646907,5.754351392050876,4.23914348194512,5.513705205929498,5.29494128663071,6.14715757769909,1,1,-1.3884823809642328,0.8751159014168042,-1.7496876046288234,0.09866210648766627,0.782212323943168,0
